,time,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms
136470,2014-02-17,,,,,,,,,,,,,,1.0,,,,,
136472,2014-02-18,,,,,,,,,,,,,,1.0,,,,,
136473,2014-02-19,,,,,,,,,,,,,,1.0,,,,,1.0
141711,2014-02-20,,,,,,,,,,,,,,1.0,,,,,1.0
141714,2014-02-21,,,,,,,,,,,,,,1.0,,,,,1.0
136482,2014-02-22,,,,,,,,,,,,,,1.0,,,,,1.0
136484,2014-02-25,,,,,,,,,,,,,,1.0,,,,,1.0
0,2014-02-26,,,,,,,,,,,,,,1.0,,,,,1.0
4,2014-02-27,,,,,,,,,,,,,,1.0,,,,,
136488,2014-02-28,,,,,,,,,,,,,,,,,,,
141718,2014-03-01,,,,,,,,,,,,,,1.0,,,,,
136492,2014-03-03,,,,,,,,,,,,,,1.0,,,,,
136493,2014-03-05,,,,,,,,,,,,,,1.0,,,,,
136494,2014-03-06,,,,,,,,,,,,,,1.0,,,,,
136495,2014-03-07,,,,,,,,,,,,,,1.0,,,,,
136500,2014-03-10,,,,,,,,,,,,,,1.0,,,,,
136501,2014-03-11,,,,,,,,,,,,,,1.0,,,,,
136504,2014-03-12,,,,,,,,,,,,,,1.0,,,,,1.0
136511,2014-03-13,,,,,,,,,,,,,,1.0,,,,,
136515,2014-03-14,,22.450083333333335,35.161,,,,,172.527,,,,,,1.0,-0.25,0.5,6.5,81.01533341407777,1.0
141721,2014-03-15,,6.738833333333333,41.44833333333333,,,,,,,,,,,1.0,0.75,0.5,6.75,55.005666732788086,
141722,2014-03-16,,,,,,,,,,,,,,1.0,-0.6666666666666666,0.3333333333333333,6.166666666666667,,
141725,2014-03-17,0.0,3.322,,,,,,,,,,,,1.0,0.0,0.0,6.4,0.694999933242798,
141726,2014-03-18,0.11873714520773347,23.259568965517243,111.2966875,5.019,,,45.186,54.256,,47.275999999999996,,17.082,,1.0,0.4,1.2,7.2,178.59049999713903,
136519,2014-03-19,,,,,,,,,,,,,,1.0,0.2,1.2,7.4,,
