,time,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms
136470,2014-02-17,,,,,,,,,,,,,,1.0,,,,,1.0
136472,2014-02-18,,,,,,,,,,,,,,,,,,,1.0
136473,2014-02-19,,,,,,,,,,,,,,1.0,,,,,1.0
141711,2014-02-20,,,,,,,,,,,,,,,,,,,
141714,2014-02-21,,,,,,,,,,,,,,,,,,,1.0
136482,2014-02-22,,,,,,,,,,,,,,,,,,,
136484,2014-02-25,,,,,,,,,,,,,,,,,,,1.0
0,2014-02-26,,,,,,,,,,,,,,,,,,,1.0
4,2014-02-27,,,,,,,,,,,,,,1.0,,,,,
136488,2014-02-28,,,,,,,,,,,,,,1.0,,,,,
141718,2014-03-01,,,,,,,,,,,,,,1.0,,,,,
136492,2014-03-03,,,,,,,,,,,,,,,,,,,1.0
136493,2014-03-05,,,,,,,,,,,,,,1.0,,,,,1.0
136494,2014-03-06,,,,,,,,,,,,,,,,,,,1.0
136495,2014-03-07,,,,,,,,,,,,,,,,,,,
136500,2014-03-10,,,,,,,,,,,,,,,,,,,1.0
136501,2014-03-11,,,,,,,,,,,,,,,,,,,
136504,2014-03-12,,,,,,,,,,,,,,1.0,,,,,
136511,2014-03-13,,,,,,,,,,,,,,1.0,,,,,
136515,2014-03-14,,,,,,,,,,,,,,,,,,,
141721,2014-03-15,,,,,,,,,,,,,,,,,,,1.0
141722,2014-03-16,,,,,,,,,,,,,,,,,,,
141725,2014-03-17,,,,,,,,,,,,,,,,,,,1.0
141726,2014-03-18,,,,,,,,,,,,,,,,,,,
136519,2014-03-19,,,,,,,,,,,,,,,,,,,
136520,2014-03-20,,30.207857142857144,6.086,43.303,,31.647,,,47.557,,545.854,,,,-1.0,1.0,7.0,73.88019995689392,
16929,2014-03-21,,30.088,,,,,,,,,,,,,0.25,0.25,7.0,30.0939998626709,
12,2014-03-22,0.007716049382716034,14.9355,16.788958333333333,,,,,14.5595,3.013,,214.219,,,,1.0,0.5,7.5,48.91609375923873,
16968,2014-03-23,0.04320987654320987,15.470666666666668,43.84073333333333,48.255,,,,13.1584,,,22.147,,,,0.8,0.8,7.6,46.09140000343315,1.0
16983,2014-03-24,0.03333333333333333,7.24425,45.08805882352941,81.4945,,445.804,,14.054,45.656400000000005,,954.654,,,,-0.2,0.4,6.8,125.94463155144156,1.0
17007,2014-03-25,0.07893518518518522,15.863963636363637,15.154124999999999,87.318,,115.79533333333332,,16.315625,47.553363636363635,,37.002500000000005,14.771500000000001,,,-0.75,-0.5,6.0,40.89140000343325,
17031,2014-03-26,0.025762156714537646,28.542000000000005,11.540285714285714,123.56033333333335,,,,9.116375,43.420625,,,,,,0.4,0.4,6.8,41.57316666179235,
17055,2014-03-27,0.05700000000000001,17.59307692307692,23.0108,8.8744,,208.24033333333333,,,13.193473684210527,,,,,,0.25,0.75,7.0,43.5765862218265,
17077,2014-03-28,0.02380952380952381,29.196214285714287,14.816555555555558,,,,,8.027,,,,,,,0.5,0.0,6.25,27.091294106315182,
17101,2014-03-29,0.13813915857605177,20.373833333333334,4.226,,,494.903,,15.31025,,,,,,1.0,1.0,1.0,7.4,54.34599999019076,
17125,2014-03-30,0.3802083333333333,7.410666666666667,44.4131,,,,,,40.93275,,164.2202,,,,1.0,1.0,7.5,69.55625003576282,1.0
17139,2014-03-31,0.0125,,5.17725,,,,,,,,,,,1.0,0.8,0.8,7.0,5.1784999370574925,1.0
17163,2014-04-01,0.0,19.169999999999998,,,,953.245,,,,,,,,,0.0,0.0,6.25,29.6319999694824,1.0
17187,2014-04-02,0.06712962962962966,13.09597435897436,23.8556,37.195499999999996,,,,18.118,78.9297,46.717000000000006,,,,,0.0,0.25,6.5,75.8909333546957,
17211,2014-04-03,0.05502297410192151,14.419333333333334,,,,,,11.387,,,,,,1.0,0.3333333333333333,0.3333333333333333,6.666666666666667,18.217666625976566,
17235,2014-04-04,0.01574074074074075,10.608807692307693,18.580975609756095,,9.424875,546.803,,13.834666666666665,72.8066,,,,,,0.75,0.5,7.0,40.50680390058779,
