,time,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms
17379,2014-04-10,0.20657326274273782,4.752947368421053,41.0615974025974,230.726,,,,16.5062,15.950418181818183,,,15.860999999999999,,,1.2,1.4,7.6,58.143399998346965,
17403,2014-04-11,0.07413554916192037,3.2465,14.604774193548387,16.0735,,,,4.8116,31.94583870967742,,,3.01,,1.0,0.6,1.0,7.6,39.54802501797677,
17427,2014-04-12,0.025027439155129106,,127.49046666666665,,,,,10.8724,37.104499999999994,,,,,,0.0,0.8,7.0,33.3507826120957,
17451,2014-04-13,0.0048270957916190715,2.715666666666667,18.811514285714285,73.85433333333334,,,,17.062142857142856,119.75916666666667,,,5.043,,,0.0,1.2,7.6,59.39885715075903,
17475,2014-04-14,0.06490308655585147,3.423692307692308,40.244375,81.273,,,45.241,10.169583333333334,37.389266666666664,,,7.84825,,,0.2,0.6,6.6,59.07027587808415,
17499,2014-04-15,0.03409090909090908,18.461529411764705,73.83710714285714,36.189,,,,7.740142857142857,41.86570588235294,,,,,,-0.8,0.6,6.4,95.43872724879878,
17523,2014-04-16,0.06859735641438541,5.822952380952381,30.478892857142856,11.229000000000001,,,48.299,6.4755714285714285,35.03235294117648,,,6.678,,,-0.6,0.8,6.6,52.25039392529111,
17547,2014-04-17,0.09718156742586877,7.4287333333333345,19.18647169811321,36.17925,,,,23.612374999999997,24.150892857142857,185.81116666666665,,3.038,,,-1.0,0.8,6.2,72.43126665221317,
17571,2014-04-18,0.049041986144740375,2.2342500000000003,10.472529411764706,,,,,8.474,48.49392857142857,,,,,,-0.4,0.6,6.0,42.57309088923713,
17595,2014-04-19,0.039002894386140255,14.102695652173914,42.0103,29.521666666666665,,,,5.866625,47.487869565217395,,22.302,7.023,,,1.4,1.2,7.8,84.11889281443202,
17619,2014-04-20,0.004899344795389425,286.479875,8.5042,43.38550000000001,,,,7.274600000000001,245.19708333333332,,17.156,15.074,,,-1.2,0.8,6.4,62.742238078798586,
17642,2014-04-21,0.029294959666751913,6.9324615384615385,46.17,437.264,,,5.032,6.2616,29.214322580645163,,,6.026,,,-1.0,0.6,6.4,90.2649565054023,
17666,2014-04-22,0.07739994303879248,13.6865,25.655225806451615,21.094,,,,6.714,40.15490476190476,,,,,,-0.6,0.4,6.0,58.68467740858753,
17690,2014-04-23,0.1249760272490379,12.825333333333333,19.349703703703703,,,,,7.300571428571429,25.642588235294117,,,,,,0.0,0.4,5.6,33.07500000710182,
17714,2014-04-24,0.12800591195077682,3.783714285714286,27.623195652173912,27.632,,,,49.76127272727273,46.214333333333336,,,,,,0.3333333333333333,1.0,6.666666666666667,53.11427025537235,
