,time,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms
136470,2014-02-17,,,,,,,,,,,,,,,,,,,
136472,2014-02-18,,,,,,,,,,,,,,,,,,,
136473,2014-02-19,,,,,,,,,,,,,,,,,,,
141711,2014-02-20,,,,,,,,,,,,,,,,,,,
141714,2014-02-21,,,,,,,,,,,,,,,,,,,
136482,2014-02-22,,,,,,,,,,,,,,,,,,,
136484,2014-02-25,,,,,,,,,,,,,,,,,,,
0,2014-02-26,,,,,,,,,,,,,,,,,,,
4,2014-02-27,,,,,,,,,,,,,,,,,,,
136488,2014-02-28,,,,,,,,,,,,,,,,,,,
141718,2014-03-01,,,,,,,,,,,,,,,,,,,
136492,2014-03-03,,,,,,,,,,,,,,,,,,,
136493,2014-03-05,,,,,,,,,,,,,,,,,,,
136494,2014-03-06,,,,,,,,,,,,,,,,,,,
136495,2014-03-07,,,,,,,,,,,,,,,,,,,
136500,2014-03-10,,,,,,,,,,,,,,,,,,,
136501,2014-03-11,,,,,,,,,,,,,,,,,,,
136504,2014-03-12,,,,,,,,,,,,,,,,,,,
136511,2014-03-13,,,,,,,,,,,,,,,,,,,
136515,2014-03-14,,,,,,,,,,,,,,,,,,,
141721,2014-03-15,,,,,,,,,,,,,,,,,,,
141722,2014-03-16,,,,,,,,,,,,,,,,,,,
141725,2014-03-17,,,,,,,,,,,,,,,,,,,1.0
141726,2014-03-18,,11.092699999999999,55.24239130434783,298.5434,,,,28.683166666666665,110.493,,59.391,,,1.0,,,,591.697000026703,
136519,2014-03-19,,14.322539682539682,33.056147959183676,195.9136666666667,,,,15.145333333333333,156.94333333333333,29.191399999999998,28.35111111111111,,,,-1.0,1.4,6.8,69.85961818984056,1.0
136520,2014-03-20,,19.65288157894737,46.57875675675675,225.8926,,,,12.49042857142857,63.87729411764706,,,,,,-0.75,-0.25,5.25,97.626254547726,1.0
16929,2014-03-21,,14.965349999999999,30.31673846153846,130.52083333333334,,,,11.2845,92.9798,54.867999999999995,,31.218,,,0.3333333333333333,1.0,7.0,193.01218279715508,
12,2014-03-22,,15.005485714285715,38.89967272727273,309.7326666666667,,,,71.54400000000001,116.87118181818182,307.123,114.432,,,,-0.4,0.0,6.0,81.62830370797055,
16968,2014-03-23,,20.640787878787876,23.68440307692308,105.46600000000001,,,,28.33375,51.102333333333334,,,,,,0.0,1.5,7.75,35.798729813726325,
16983,2014-03-24,,19.365986666666668,17.907654970760234,102.671,,,,94.32249999999999,106.75900000000001,58.215,,,,1.0,0.5,1.0,8.0,32.4538529325934,1.0
17007,2014-03-25,0.13434490180252895,13.416940476190476,33.41654464285714,165.83566666666667,,,,107.2475,186.931375,65.467,,,,1.0,-0.5,1.3333333333333333,7.666666666666667,62.27088556242221,
17031,2014-03-26,0.10329373128561768,24.303571428571427,29.647546052631576,424.77233333333334,,,,20.7838,83.861875,101.8705,,,,1.0,0.2,0.6,6.6,62.94213698661493,1.0
17055,2014-03-27,0.08970024791525805,19.45115,34.44497857142857,261.867,,,,12.0556,150.11286666666666,25.884,,,,1.0,0.2,0.4,6.8,74.68291537761688,1.0
