,time,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms
136470,2014-02-17,,,,,,,,,,,,,,,,,,,1.0
136472,2014-02-18,,,,,,,,,,,,,,1.0,,,,,
136473,2014-02-19,,,,,,,,,,,,,,,,,,,
141711,2014-02-20,,,,,,,,,,,,,,1.0,,,,,
141714,2014-02-21,,,,,,,,,,,,,,1.0,,,,,
136482,2014-02-22,,,,,,,,,,,,,,1.0,,,,,1.0
136484,2014-02-25,,,,,,,,,,,,,,,,,,,1.0
0,2014-02-26,,,,,,,,,,,,,,1.0,,,,,
4,2014-02-27,,,,,,,,,,,,,,,,,,,
136488,2014-02-28,,,,,,,,,,,,,,1.0,,,,,
141718,2014-03-01,,,,,,,,,,,,,,,,,,,1.0
136492,2014-03-03,,,,,,,,,,,,,,,,,,,
136493,2014-03-05,,,,,,,,,,,,,,1.0,0.6666666666666666,1.3333333333333333,8.0,,1.0
136494,2014-03-06,,,,,,,,,,,,,,1.0,0.5,0.75,7.25,,
136495,2014-03-07,,,,,,,,,,,,,,,0.75,1.0,7.5,,
136500,2014-03-10,,,,,,,,,,,,,,,0.6666666666666666,0.6666666666666666,7.333333333333333,,
136501,2014-03-11,,,,,,,,,,,,,,,0.0,0.4,6.2,,
136504,2014-03-12,,,,,,,,,,,,,,,0.2,0.2,6.4,,
136511,2014-03-13,,,,,,,,,,,,,,,0.75,0.75,7.25,,1.0
136515,2014-03-14,,,,,,,,,,,,,,,1.0,1.0,8.0,,
141721,2014-03-15,,,,,,,,,,,,,,,,,,,1.0
141722,2014-03-16,,,,,,,,,,,,,,1.0,,,,,
141725,2014-03-17,,,,,,,,,,,,,,,,,,,1.0
141726,2014-03-18,,,,,,,,,,,,,,1.0,,,,,
136519,2014-03-19,,,,,,,,,,,,,,1.0,,,,,
136520,2014-03-20,0.04230288377845706,4.018909090909091,28.5144375,249.904,,,,22.297,66.96692857142857,,,,,,,,,101.92049998044969,
16929,2014-03-21,0.16797442845445734,419.3917826086957,126.76647272727273,199.40485714285714,,,9.841199999999999,9.032399999999999,70.77939130434783,,,,,,0.8,1.0,7.4,90.14679309417454,
