,time,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms
136470,2014-02-17,,,,,,,,,,,,,,1.0,,,,,
136472,2014-02-18,,,,,,,,,,,,,,1.0,,,,,
136473,2014-02-19,,,,,,,,,,,,,,1.0,,,,,1.0
141711,2014-02-20,,,,,,,,,,,,,,1.0,,,,,1.0
141714,2014-02-21,,,,,,,,,,,,,,1.0,,,,,1.0
136482,2014-02-22,,,,,,,,,,,,,,1.0,,,,,
136484,2014-02-25,,,,,,,,,,,,,,,,,,,
0,2014-02-26,,,,,,,,,,,,,,1.0,,,,,
4,2014-02-27,,,,,,,,,,,,,,1.0,,,,,1.0
136488,2014-02-28,,,,,,,,,,,,,,1.0,,,,,1.0
141718,2014-03-01,,,,,,,,,,,,,,1.0,,,,,
136492,2014-03-03,,,,,,,,,,,,,,1.0,,,,,1.0
136493,2014-03-05,,,,,,,,,,,,,,1.0,,,,,1.0
136494,2014-03-06,,,,,,,,,,,,,,1.0,,,,,1.0
136495,2014-03-07,,,,,,,,,,,,,,1.0,,,,,
136500,2014-03-10,,,,,,,,,,,,,,,,,,,
136501,2014-03-11,,,,,,,,,,,,,,1.0,,,,,
136504,2014-03-12,,,,,,,,,,,,,,,,,,,
136511,2014-03-13,,7.169666666666667,46.67227272727273,36.754,,,,46.7236,174.092,,,,,1.0,-2.0,1.0,7.0,83.48246666590373,
136515,2014-03-14,,19.142244680851064,48.967200000000005,50.052,,,,44.88381481481482,36.115307692307695,81.78328571428571,,,,,0.2,1.4,7.8,42.396488382372745,1.0
141721,2014-03-15,,46.433136363636365,46.92137142857143,51.619230769230775,,,,37.33145161290323,28.253899999999998,,,,,,0.2,0.4,7.0,37.98886064427799,1.0
141722,2014-03-16,,10.722999999999999,43.29553333333333,37.964,,,,48.289857142857144,38.07986666666667,,23.663,,,,-1.0,0.2,6.4,83.4051525269524,
141725,2014-03-17,,14.466619718309861,30.761545454545455,,,,,30.498826086956523,42.651,59.037000000000006,,6.259,,,0.0,0.8,6.6,32.11036733461886,
