,time,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms
136470,2014-02-17,,,,,,,,,,,,,,,,,,,
136472,2014-02-18,,,,,,,,,,,,,,,,,,,
136473,2014-02-19,,,,,,,,,,,,,,,,,,,
141711,2014-02-20,,,,,,,,,,,,,,,,,,,
141714,2014-02-21,,,,,,,,,,,,,,,,,,,
136482,2014-02-22,,,,,,,,,,,,,,,,,,,
136484,2014-02-25,,,,,,,,,,,,,,,,,,,
0,2014-02-26,,,,,,,,,,,,,,,,,,,
4,2014-02-27,,,,,,,,,,,,,,,,,,,
136488,2014-02-28,,,,,,,,,,,,,,,,,,,
141718,2014-03-01,,,,,,,,,,,,,,,,,,,
136492,2014-03-03,,,,,,,,,,,,,,,,,,,
136493,2014-03-05,,,,,,,,,,,,,,,,,,,
136494,2014-03-06,,,,,,,,,,,,,,,,,,,
136495,2014-03-07,,,,,,,,,,,,,,,,,,,
136500,2014-03-10,,,,,,,,,,,,,,,,,,,
136501,2014-03-11,,,,,,,,,,,,,,,,,,,
136504,2014-03-12,,,,,,,,,,,,,,,,,,,
136511,2014-03-13,,,,,,,,,,,,,,,,,,,
136515,2014-03-14,,,,,,,,,,,,,,,,,,,
141721,2014-03-15,,,,,,,,,,,,,,,,,,,
141722,2014-03-16,,,,,,,,,,,,,,,,,,,
141725,2014-03-17,,,,,,,,,,,,,,,,,,,
141726,2014-03-18,,,,,,,,,,,,,,,,,,,
136519,2014-03-19,,,,,,,,,,,,,,,,,,,
136520,2014-03-20,,,,,,,,,,,,,,,,,,,
16929,2014-03-21,,,,,,,,,,,,,,,,,,,
12,2014-03-22,,,,,,,,,,,,,,,,,,,
16968,2014-03-23,,,,,,,,,,,,,,,,,,,
16983,2014-03-24,,,,,,,,,,,,,,,,,,,
17007,2014-03-25,,,,,,,,,,,,,,,,,,,
17031,2014-03-26,,,,,,,,,,,,,,,,,,,
17055,2014-03-27,,,,,,,,,,,,,,,,,,,
17077,2014-03-28,,,,,,,,,,,,,,,,,,,
17101,2014-03-29,,,,,,,,,,,,,,,,,,,
17125,2014-03-30,,,,,,,,,,,,,,,,,,,
17139,2014-03-31,,,,,,,,,,,,,,,,,,,
17163,2014-04-01,,,,,,,,,,,,,,,,,,,
17187,2014-04-02,,,,,,,,,,,,,,,,,,,
17211,2014-04-03,,,,,,,,,,,,,,,,,,,
17235,2014-04-04,,,,,,,,,,,,,,,,,,,
17259,2014-04-05,,,,,,,,,,,,,,,,,,,
17283,2014-04-06,,,,,,,,,,,,,,,,,,,
17307,2014-04-07,,,,,,,,,,,,,,,,,,,
17331,2014-04-08,,,,,,,,,,,,,,,,,,,
17355,2014-04-09,,,,,,,,,,,,,,,,,,,1.0
17379,2014-04-10,,,,,,,,,,,,,,1.0,,,,,1.0
17403,2014-04-11,,,,,,,,,,,,,,1.0,,,,,1.0
17427,2014-04-12,,,,,,,,,,,,,,1.0,,,,,
17451,2014-04-13,,,,,,,,,,,,,,1.0,,,,,
17475,2014-04-14,0.03496732026143788,11.365581818181818,90.716,10.026,,,,26.928166666666666,,,,,,1.0,1.0,1.0,8.0,57.00979998111728,1.0
