,time,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms
136470,2014-02-17,,,,,,,,,,,,,,1.0,,,,,
136472,2014-02-18,,,,,,,,,,,,,,,,,,,
136473,2014-02-19,,,,,,,,,,,,,,,,,,,
141711,2014-02-20,,,,,,,,,,,,,,1.0,,,,,
141714,2014-02-21,,,,,,,,,,,,,,1.0,,,,,1.0
136482,2014-02-22,,,,,,,,,,,,,,1.0,,,,,1.0
136484,2014-02-25,,,,,,,,,,,,,,1.0,,,,,1.0
0,2014-02-26,,,,,,,,,,,,,,1.0,,,,,
4,2014-02-27,,,,,,,,,,,,,,1.0,,,,,
136488,2014-02-28,,,,,,,,,,,,,,1.0,,,,,1.0
141718,2014-03-01,,,,,,,,,,,,,,1.0,,,,,
136492,2014-03-03,,,,,,,,,,,,,,1.0,,,,,
136493,2014-03-05,,,,,,,,,,,,,,,,,,,
136494,2014-03-06,,,,,,,,,,,,,,1.0,,,,,
136495,2014-03-07,,,,,,,,,,,,,,1.0,,,,,1.0
136500,2014-03-10,,,,,,,,,,,,,,1.0,,,,,
136501,2014-03-11,,,,,,,,,,,,,,1.0,,,,,1.0
136504,2014-03-12,,,,,,,,,,,,,,1.0,,,,,1.0
136511,2014-03-13,,4.9139,30.734166666666667,,,,,,,,,,,1.0,-0.5,1.5,8.0,22.923222197426664,
136515,2014-03-14,,3.3213333333333335,6.877,,,,,29.064,,,,,,1.0,-0.4,0.75,7.4,46.0409998893738,1.0
141721,2014-03-15,,5.081307692307693,26.660000000000004,65.813,8.0384,,,10.025,51.699,,,,,,0.4,0.8,6.4,34.712214299610665,1.0
141722,2014-03-16,,9.766210526315788,13.382777777777777,,19.082,,,12.717333333333334,,,,,,,-0.8,0.5,6.6,33.153818173842,1.0
141725,2014-03-17,0.06071428571428575,3.9402500000000003,43.467699999999994,,,,,15.073,216.303,,,,,,-0.6,0.6,7.2,79.36699994405109,
141726,2014-03-18,0.053911909926399944,5.283194444444444,33.17885714285714,48.2755,22.1,,,11.054,,,,,,1.0,0.4,0.6,6.6,29.122629660147226,1.0
136519,2014-03-19,0.005627705627705628,6.469799999999999,,17.332,,,,11.088,,,,,,,0.0,0.6,6.4,8.785666704177864,
136520,2014-03-20,0.04383822653596662,12.94868,12.215875,15.348,,,,10.029,34.951,,,,,1.0,0.6666666666666666,0.3333333333333333,5.666666666666667,29.48735712255752,1.0
16929,2014-03-21,0.060560360921981006,6.480625,13.812111111111111,5.041,,,,,62.6,,,,,1.0,1.0,1.0,6.8,25.9119090817191,
12,2014-03-22,0.06677041257209454,7.947636363636363,37.9042,46.721000000000004,,,,10.077,15.412,,,,,1.0,0.5,0.75,6.5,231.15819997787474,1.0
16968,2014-03-23,0.06845238095238092,7.888454545454545,29.21357142857143,60.419000000000004,13.047,,,11.562,63.77133333333333,,,,,1.0,0.0,1.0,7.0,72.63540003299708,1.0
16983,2014-03-24,0.10731287707390641,6.160416666666666,22.279199999999996,,3.016,,,10.417,81.677,,,,,,0.0,0.8,6.4,30.60126668612164,
17007,2014-03-25,0.08716623124390796,5.667565217391304,30.46175,50.631,,,,10.5305,32.202,,,,,,0.6,0.6,6.0,40.537559995651236,1.0
17031,2014-03-26,0.09062499999999994,5.008,71.14975,60.185,32.3985,,,,221.426,,,,,,0.2,0.25,5.6,315.73912501335155,1.0
17055,2014-03-27,0.2950993676603433,7.743444444444445,,557.1076666666667,,,,,,,,,,1.0,0.0,0.25,6.0,265.66833333174446,1.0
17077,2014-03-28,0.08746898327453533,5.697666666666667,23.414176470588234,,,,,,,,,,,,-0.75,0.75,6.5,25.956699991226184,
17101,2014-03-29,0.2525042601225439,4.16484375,11.929692307692306,,19.119,,,8.057,23.490499999999997,,,,,1.0,-0.5,0.5,6.0,22.784444438086616,1.0
17125,2014-03-30,0.052733447325923805,6.291571428571428,20.0858,246.6821666666667,,,,8.5505,,,,,,1.0,0.4,1.0,5.4,53.91100004315373,
17139,2014-03-31,0.13474030795602568,2.4698,10.6142,,,,,8.153,,,,,,1.0,-0.25,0.3333333333333333,6.0,12.299499988555924,1.0
17163,2014-04-01,0.3134394341290892,5.77635294117647,21.654444444444444,,,,,,16.112666666666666,20.4745,,,,,-0.4,0.6,5.8,147.35539999008205,1.0
17187,2014-04-02,0.03047421130575252,3.3075555555555556,13.220125,,,,,,0.725,,,,,1.0,-0.2,1.0,6.4,960.5031111240392,
17211,2014-04-03,0.012361111111111111,3.730545454545455,57.838,1.014,,,,8.5775,10.33925,,,,,,-0.5,0.3333333333333333,6.25,34.704750001430526,
17235,2014-04-04,0.14407060344630326,8.4809625,46.66763888888889,554.05475,20.066,,,9.028666666666666,37.73475,4.944,,,,1.0,-0.2,0.8,6.2,123.48600000739103,1.0
17259,2014-04-05,0.08748917748917752,7.0721428571428575,18.435846153846153,71.0125,,,,7.536,20.102,,,,,1.0,0.0,1.0,7.0,18.39681818268515,
17283,2014-04-06,0.19987749808992267,10.322268292682928,28.07261111111111,28.9432,,,,8.062,30.967,,,19.138,5.22,,-0.6666666666666666,1.0,6.75,66.91016665101047,
17307,2014-04-07,0.0864168979340117,5.6923076923076925,29.14392857142857,51.298,22.639499999999998,,,,39.992333333333335,,,,,,-0.2,1.0,7.0,138.37543751299356,1.0
17331,2014-04-08,0.03989680082559341,2.31025,,,,,,,,,,,,1.0,0.5,0.6666666666666666,6.4,2.425000031789143,1.0
17355,2014-04-09,0.24015661939870087,5.606833333333333,9.097,,11.053,,,,,,,,,1.0,-0.5,1.0,7.2,638.3243999958044,
17379,2014-04-10,0.1293886382716278,4.90384375,25.474384615384615,56.525999999999996,43.849,162.983,,7.566,74.11833333333333,,,,,1.0,0.2,1.0,6.6,64.10094119520748,1.0
17403,2014-04-11,0.03957364341085266,4.759047619047619,32.40984615384615,,,,,5.014,27.423,,,,,,1.0,1.0,7.0,22.430187478661523,
17427,2014-04-12,0.0,19.42,,,,,,,,,,,,1.0,1.25,1.0,7.0,19.430999994278,
17451,2014-04-13,0.0454545454545455,3.792466666666667,3.01,,,,,6.052,46.323,,,,,1.0,0.0,0.5,6.4,9.360083341598514,1.0
17475,2014-04-14,0.0341435185185185,6.87844,16.393800000000002,,,,,,5.708,,,,,1.0,0.8,1.0,7.0,12.652312517166132,
17499,2014-04-15,0.05,30.471500000000002,13.286999999999999,,,,,,35.166,,,,,1.0,0.6,0.5,6.6,4.1340000629425,1.0
17523,2014-04-16,0.13797664519172403,9.182870967741936,28.88145454545455,,,,,6.065,45.261,,,,,1.0,1.25,1.0,7.25,37.12773688215959,1.0
17547,2014-04-17,0.14644478187042836,8.0698,17.14788888888889,,51.205,,,6.5995,14.139,,,,,1.0,-0.6,1.0,7.0,40.51899998838251,
17571,2014-04-18,0.009735044072393464,7.212764705882353,33.95576470588236,139.76775,,,,,46.86725,,,,,,0.0,1.0,6.8,70.97366663614915,1.0
17595,2014-04-19,0.1840579710144928,,,,,,,,,,,,,1.0,1.6,1.0,7.2,,1.0
17619,2014-04-20,0.0,,,,,,,,,,,,,,1.3333333333333333,1.0,7.0,,1.0
17642,2014-04-21,0.009197324414715692,13.47011111111111,68.75514285714286,62.525,,,,14.093,33.32,,,,,,1.0,1.0,7.25,46.20356248319148,
17666,2014-04-22,0.05494394283401094,4.2015,32.226,102.214,,,,,100.71,,,,,,0.8,0.8,6.6,32.45682139056067,1.0
17690,2014-04-23,0.08201415701415696,8.106153846153846,31.830346153846158,,34.9825,,,9.035,18.024,,,,4.01,1.0,0.75,1.0,7.25,54.114374995231636,1.0
17714,2014-04-24,0.013731060606060611,7.0905000000000005,36.34442857142857,86.2645,,,,,,,,,,1.0,-0.2,-0.2,5.4,237.9420000076294,1.0
17738,2014-04-25,0.08522727272727262,6.534142857142858,9.5415,,,,,,7.483666666666667,,,,,1.0,0.6,1.0,7.2,15.167954531582943,1.0
17762,2014-04-26,0.35491071428571425,0.914,24.783,,,,,5.046,,,,,,,0.5,1.0,6.75,55.5429999828339,1.0
17785,2014-04-27,0.12176700111482719,4.749941176470588,18.7691,,,,,,,,,,,1.0,-0.2,1.0,7.2,22.389166633288074,
17807,2014-04-28,0.18809523809523798,3.592142857142857,15.659,,,,,,84.057,,,,,1.0,1.0,1.0,8.0,52.346250057220395,1.0
17831,2014-04-29,0.03592650103519668,8.810377358490566,25.749321428571427,105.12525,66.3335,,,7.022,12.843400000000003,,,,,1.0,-0.5,1.0,7.0,37.80908824415767,1.0
17855,2014-04-30,0.03966646529954715,3.222125,71.99316666666667,22.927999999999997,,,,5.023,,,,,,1.0,0.4,1.0,7.0,147.35080008506782,
17879,2014-05-01,0.1044532627865961,7.592999999999999,19.105,,,,,,,,,,,1.0,0.0,1.0,7.0,31.3937500119209,1.0
17903,2014-05-02,0.10067570888004324,5.1079375,33.93516666666667,31.458,,,,,34.786249999999995,124.535,,,,1.0,2.0,1.0,8.0,42.24827276576651,
17927,2014-05-03,0.026000330687830687,8.497074074074074,37.05594117647059,177.79066666666668,,,,,53.0554,,,,,1.0,,,,83.63579998811092,
17951,2014-05-04,0.09635942760942762,18.796078947368425,28.33811111111111,,29.127,,,15.073,58.853,,11.114,13.048,,,0.0,1.0,7.0,38.449277785089244,
17972,2014-05-05,0.012931034482758626,4.6171,,226.15325,,,,,,,,,,,1.5,1.0,7.333333333333333,316.97199988365156,
136646,2014-02-23,,,,,,,,,,,,,,,,,,,
136650,2014-02-24,,,,,,,,,,,,,,1.0,,,,,
136690,2014-03-02,,,,,,,,,,,,,,1.0,,,,,1.0
136695,2014-03-04,,,,,,,,,,,,,,1.0,,,,,
136724,2014-03-08,,,,,,,,,,,,,,,,,,,1.0
136735,2014-03-09,,,,,,,,,,,,,,1.0,,,,,
19738,2014-05-06,,,,,,,,,,,,,,,,,,,
19762,2014-05-07,,,,,,,,,,,,,,,,,,,
19786,2014-05-08,,,,,,,,,,,,,,,,,,,
31235,2014-05-09,,,,,,,,,,,,,,,,,,,
31259,2014-05-10,,,,,,,,,,,,,,,,,,,
31283,2014-05-11,,,,,,,,,,,,,,,,,,,
31307,2014-05-12,,,,,,,,,,,,,,,,,,,
31331,2014-05-13,,,,,,,,,,,,,,,,,,,
31355,2014-05-14,,,,,,,,,,,,,,,,,,,
31379,2014-05-15,,,,,,,,,,,,,,,,,,,
31403,2014-05-16,,,,,,,,,,,,,,,,,,,
31427,2014-05-17,,,,,,,,,,,,,,,,,,,
31451,2014-05-18,,,,,,,,,,,,,,,,,,,
31475,2014-05-19,,,,,,,,,,,,,,,,,,,
31499,2014-05-20,,,,,,,,,,,,,,,,,,,
31523,2014-05-21,,,,,,,,,,,,,,,,,,,
31547,2014-05-22,,,,,,,,,,,,,,,,,,,
31571,2014-05-23,,,,,,,,,,,,,,,,,,,
31595,2014-05-24,,,,,,,,,,,,,,,,,,,
31619,2014-05-25,,,,,,,,,,,,,,,,,,,
31643,2014-05-26,,,,,,,,,,,,,,,,,,,
31667,2014-05-27,,,,,,,,,,,,,,,,,,,
31691,2014-05-28,,,,,,,,,,,,,,,,,,,
31715,2014-05-29,,,,,,,,,,,,,,,,,,,
31739,2014-05-30,,,,,,,,,,,,,,,,,,,
31763,2014-05-31,,,,,,,,,,,,,,,,,,,
3853,2014-06-01,,,,,,,,,,,,,,,,,,,
31811,2014-06-02,,,,,,,,,,,,,,,,,,,
31835,2014-06-03,,,,,,,,,,,,,,,,,,,
31859,2014-06-04,,,,,,,,,,,,,,,,,,,
31883,2014-06-05,,,,,,,,,,,,,,,,,,,
31907,2014-06-06,,,,,,,,,,,,,,,,,,,
31931,2014-06-07,,,,,,,,,,,,,,,,,,,
3882,2014-06-08,,,,,,,,,,,,,,,,,,,
31959,2014-06-09,,,,,,,,,,,,,,,,,,,
