,time,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms
136470,2014-02-17,,,,,,,,,,,,,,,,,,,
136472,2014-02-18,,,,,,,,,,,,,,,,,,,
136473,2014-02-19,,,,,,,,,,,,,,,,,,,1.0
141711,2014-02-20,,,,,,,,,,,,,,1.0,,,,,
141714,2014-02-21,,,,,,,,,,,,,,1.0,,,,,
136482,2014-02-22,,,,,,,,,,,,,,1.0,,,,,
136484,2014-02-25,,,,,,,,,,,,,,,,,,,
0,2014-02-26,,,,,,,,,,,,,,1.0,,,,,1.0
4,2014-02-27,,,,,,,,,,,,,,1.0,,,,,
136488,2014-02-28,,,,,,,,,,,,,,1.0,,,,,
141718,2014-03-01,,,,,,,,,,,,,,1.0,,,,,
136492,2014-03-03,,,,,,,,,,,,,,1.0,,,,,
136493,2014-03-05,,,,,,,,,,,,,,,,,,,1.0
136494,2014-03-06,,,,,,,,,,,,,,,,,,,
136495,2014-03-07,,,,,,,,,,,,,,1.0,,,,,1.0
136500,2014-03-10,,,,,,,,,,,,,,1.0,,,,,
136501,2014-03-11,,,,,,,,,,,,,,,,,,,
136504,2014-03-12,,,,,,,,,,,,,,1.0,,,,,
136511,2014-03-13,,,,,,,,,,,,,,,,,,,
136515,2014-03-14,,,,,,,,,,,,,,1.0,,,,,1.0
141721,2014-03-15,,,,,,,,,,,,,,1.0,0.0,-0.5,5.5,,1.0
141722,2014-03-16,,,,,,,,,,,,,,1.0,,,,,
141725,2014-03-17,,,,,,,,,,,,,,,,,,,
141726,2014-03-18,,,,,,,,,,,,,,1.0,,,,,
136519,2014-03-19,,,,,,,,,,,,,,1.0,,,,,
136520,2014-03-20,,,,,,,,,,,,,,1.0,,,,,
16929,2014-03-21,,,,,,,,,,,,,,1.0,,,,,
12,2014-03-22,,,,,,,,,,,,,,,,,,,
16968,2014-03-23,,,,,,,,,,,,,,,,,,,
16983,2014-03-24,,,,,,,,,,,,,,,,,,,
17007,2014-03-25,,,,,,,,,,,,,,1.0,,,,,1.0
17031,2014-03-26,,,,,,,,,,,,,,,,,,,
17055,2014-03-27,0.1482905365606453,9.809546666666666,93.0649,34.5645,,,,14.381,97.63542222222222,,,5.052,,1.0,-0.5,1.0,7.0,96.28112699115094,
17077,2014-03-28,0.1121886973180077,19.26621825396825,66.85713157894736,160.89758333333336,,,,15.5816,62.62057894736842,,,4.723,,1.0,0.0,0.75,6.75,75.9276594217273,
17101,2014-03-29,0.12607506942792832,41.699133757961775,54.9195,31.28309375,,,,10.3414,50.73930434782609,20.2236,6.699888888888889,4.06,,1.0,1.0,1.0,6.75,107.06015053103042,
17125,2014-03-30,0.050002669288337596,6.342385826771653,24.709625,43.062999999999995,,,,10.733799999999999,65.32278571428571,,,3.0234,,1.0,-0.2,0.25,5.8,43.452901417100925,
17139,2014-03-31,0.07254649006645171,8.833657407407408,37.27688235294118,24.214764705882352,5.52,11.03,17.189,9.5114,78.30591666666668,29.707653846153846,,,,1.0,0.4,0.4,6.4,50.60035526438765,
17163,2014-04-01,0.1407921548420124,6.808102040816326,40.12094520547945,44.19364705882353,18.459333333333333,3.766,,8.9292,104.94958064516129,17.01975,,,,1.0,0.4,0.75,6.4,84.69151427859353,
