,time,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms
17642,2014-04-21,0.11076388888888888,2.8354166666666667,31.65623076923077,,,,6.431470588235294,23.377375,85.5065,,,,,,0.0,0.4,7.2,87.13997675097269,
17666,2014-04-22,0.1664660232870682,26.889903225806453,40.48543333333334,78.445,,,9.21989947089947,9.5076,50.93476623376623,35.584,,1.3478333333333332,,1.0,-0.2,0.0,6.4,79.43436195806491,1.0
17690,2014-04-23,0.09481132256815117,7.29212,36.63126373626374,397.754,,,9.468639053254439,7.6404,102.06745,27.943533333333335,,27.062,,1.0,0.6,0.6,7.6,90.39834587376815,1.0
17714,2014-04-24,0.18661315132741277,8.187882352941177,32.05956034482759,1088.969,,,4.921629629629629,9.6434,51.12975806451613,42.64946153846154,,,,,0.2,1.0,7.8,52.750032981673456,1.0
17738,2014-04-25,0.16510803391777293,35.317125,39.47035,,,,7.7742,9.271,21.567333333333334,44.287,,1.02,,,0.0,0.75,7.5,46.66445239101139,1.0
17762,2014-04-26,0.269335092679129,15.159027027027028,28.461884297520662,,,,7.335241134751773,19.436,96.46853703703704,47.182,,,,1.0,0.0,0.0,6.0,62.75046708198364,1.0
17785,2014-04-27,0.044895598261322965,35.2522972972973,23.445973684210525,52.983666666666664,,,6.4636625,10.6506,154.87271875,,,,,,-0.75,0.0,6.5,112.35539682706197,
17807,2014-04-28,0.07879215708108615,15.542666666666666,27.82382089552239,218.3172857142857,,,6.975224489795918,10.6594,97.10596153846154,65.38471428571428,,,,,-0.4,0.4,7.0,82.37212089129855,
17831,2014-04-29,0.2085233883666979,21.983402298850574,29.265651785714287,66.28009375,68.332,,8.70755135135135,9.665000000000001,49.98453225806452,35.59,,,,,0.4,0.8,7.6,67.31516947854034,1.0
17855,2014-04-30,0.09121493415357158,34.3178125,51.79987096774194,45.36775,,,6.972676767676767,12.261,165.55948,16.853333333333335,,,,1.0,-0.4,0.2,7.8,110.67148192819343,1.0
17879,2014-05-01,0.1318342937166134,7.994547619047619,36.80394736842105,,,,21.18401923076923,7.029999999999999,34.02065625,,,,,,0.0,0.4,7.6,56.056073383453786,
17903,2014-05-02,0.3209989457982649,18.635483146067415,13.051282608695653,,,,7.248935483870968,,30.2231,52.666,,1.1495,,,,,,32.18712621522182,1.0
17927,2014-05-03,0.291548117478645,24.21348780487805,55.72833333333333,17.1585,,,140.1030930232558,14.052,13.373111111111111,,,,,,1.0,1.0,8.0,38.16872917612393,1.0
17951,2014-05-04,0.3729824077846088,14.659959999999998,34.99402777777778,,,,59.75862626262626,9.054,112.776375,,,,,1.0,-1.0,1.0,8.0,37.92546988108072,1.0
17972,2014-05-05,0.21394117129591342,10.463241379310345,31.61432075471698,,,,6.189018348623852,14.033000000000001,147.44707142857143,30.243363636363632,,,,1.0,-0.3333333333333333,0.6666666666666666,7.333333333333333,48.16207826241203,1.0
136646,2014-02-23,,,,,,,,,,,,,,1.0,,,,,1.0
136650,2014-02-24,,,,,,,,,,,,,,,,,,,1.0
136690,2014-03-02,,,,,,,,,,,,,,,,,,,1.0
136695,2014-03-04,,,,,,,,,,,,,,1.0,,,,,1.0
136724,2014-03-08,,,,,,,,,,,,,,,,,,,1.0
136735,2014-03-09,,,,,,,,,,,,,,,,,,,
19738,2014-05-06,0.08994613655738976,7.972500000000001,35.12873684210526,,,,18.755649484536082,2.007,59.8838,,,,,,,,,192.90560273928185,
19762,2014-05-07,0.034468535029819836,2.6816666666666666,18.864521739130435,,,,5.758685714285714,124.378375,43.24061538461538,,,,,,-0.2,0.8,7.8,62.81793182546441,
19786,2014-05-08,0.1176933021746805,4.231595238095238,43.90635576923077,13.125,,,15.497126984126984,6.793000000000001,40.85655844155844,,,,,1.0,0.4,1.0,7.8,76.7246363911747,1.0
31235,2014-05-09,0.058269909376370686,18.462304347826088,80.42246153846153,213.61866666666666,21.777666666666665,,4.490625,99.2057,107.34294736842105,,,,,1.0,-0.4,0.6,7.4,165.27772001902272,
31259,2014-05-10,0.12233941652660994,6.847470588235294,59.008546218487396,28.157,,,9.309194444444445,14.961785714285714,86.29024096385542,,,1.5470000000000002,,1.0,-0.2,0.4,7.0,107.53046308267835,1.0
31283,2014-05-11,0.015175118928836287,6.848624999999999,63.504906976744195,,,,5.553468085106383,10.387500000000001,84.16053846153847,53.644,,,,,-0.8,0.4,7.0,152.6242711907726,
31307,2014-05-12,0.14951704294124676,10.734944444444444,39.21338993710692,53.615,,,4.829047846889952,8.8518,59.57183333333334,10.643,,,,,-0.2,0.8,7.6,80.28253529632794,1.0
31331,2014-05-13,0.1152475244483759,6.27845,48.245784615384615,26.6235,,,5.2410434782608695,85.29466666666666,75.87868085106382,,,14.11,,1.0,0.6,0.8,8.2,103.02302362224248,1.0
31355,2014-05-14,0.125,,102.43249999999999,,,,7.171,,33.71825,,,,,,0.2,0.4,7.6,3.718000054359435,
31379,2014-05-15,,,,,,,,,,,,,,,-0.5,0.0,6.0,,
31403,2014-05-16,,,,,,,,,,,,,,,,,,,
31427,2014-05-17,,,,,,,,,,,,,,,,,,,
